valeur
1387661
1431275
1508581
1588839
1709311
369730
401574
430987
456267
490670
1757391
1832849
1939568
2045106
2199981
1595726
1737931
1919862
2028370
2143296
38999
42432
40585
42727
47345
200664
137350
60291
59463
104030
